===== Fri Sep 25 19:43:35 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-15  | 2026-09-25T22:43:38.072841662Z [REBALANÇO] consumer-c6d6e0acf841 recebeu as partições []
consumer-15  | 2026-09-25T22:43:47.088589267Z [REBALANÇO] consumer-c6d6e0acf841 perdeu as partições []
consumer-15  | 2026-09-25T22:43:47.131319235Z [REBALANÇO] consumer-c6d6e0acf841 recebeu as partições []
consumer-30  | 2026-09-25T22:43:38.026710611Z [REBALANÇO] consumer-a20aa09b568f perdeu as partições []
consumer-30  | 2026-09-25T22:43:38.072849228Z [REBALANÇO] consumer-a20aa09b568f recebeu as partições []
consumer-30  | 2026-09-25T22:43:47.088380111Z [REBALANÇO] consumer-a20aa09b568f perdeu as partições []
consumer-30  | 2026-09-25T22:43:47.134906043Z [REBALANÇO] consumer-a20aa09b568f recebeu as partições []
consumer-6   | 2026-09-25T22:43:38.026519082Z [REBALANÇO] consumer-c20c2fdc5d80 perdeu as partições []
consumer-6   | 2026-09-25T22:43:38.073911473Z [REBALANÇO] consumer-c20c2fdc5d80 recebeu as partições []
consumer-6   | 2026-09-25T22:43:47.086158860Z [REBALANÇO] consumer-c20c2fdc5d80 perdeu as partições []
consumer-6   | 2026-09-25T22:43:47.132408031Z [REBALANÇO] consumer-c20c2fdc5d80 recebeu as partições []
consumer-2   | 2026-09-25T22:43:38.032737443Z [REBALANÇO] consumer-0d5aabb6ea72 perdeu as partições []
consumer-2   | 2026-09-25T22:43:38.072496642Z [REBALANÇO] consumer-0d5aabb6ea72 recebeu as partições []
consumer-2   | 2026-09-25T22:43:47.084913018Z [REBALANÇO] consumer-0d5aabb6ea72 perdeu as partições []
consumer-2   | 2026-09-25T22:43:47.133369727Z [REBALANÇO] consumer-0d5aabb6ea72 recebeu as partições []
consumer-3   | 2026-09-25T22:43:38.033041047Z [REBALANÇO] consumer-33366a8570f2 perdeu as partições []
consumer-3   | 2026-09-25T22:43:38.074813274Z [REBALANÇO] consumer-33366a8570f2 recebeu as partições []
consumer-3   | 2026-09-25T22:43:47.092226688Z [REBALANÇO] consumer-33366a8570f2 perdeu as partições []
consumer-3   | 2026-09-25T22:43:47.132631374Z [REBALANÇO] consumer-33366a8570f2 recebeu as partições []
consumer-23  | 2026-09-25T22:43:38.033022323Z [REBALANÇO] consumer-59575df6092f perdeu as partições []
consumer-23  | 2026-09-25T22:43:38.073085793Z [REBALANÇO] consumer-59575df6092f recebeu as partições []
consumer-23  | 2026-09-25T22:43:47.083570577Z [REBALANÇO] consumer-59575df6092f perdeu as partições []
consumer-23  | 2026-09-25T22:43:47.135486139Z [REBALANÇO] consumer-59575df6092f recebeu as partições []
consumer-8   | 2026-09-25T22:43:38.044164573Z [REBALANÇO] consumer-4cc65e761151 perdeu as partições []
consumer-8   | 2026-09-25T22:43:38.073967383Z [REBALANÇO] consumer-4cc65e761151 recebeu as partições []
consumer-8   | 2026-09-25T22:43:47.084911072Z [REBALANÇO] consumer-4cc65e761151 perdeu as partições []
consumer-8   | 2026-09-25T22:43:47.133198349Z [REBALANÇO] consumer-4cc65e761151 recebeu as partições []
consumer-26  | 2026-09-25T22:43:38.036275631Z [REBALANÇO] consumer-ebc2cc27056f perdeu as partições []
consumer-26  | 2026-09-25T22:43:38.073198707Z [REBALANÇO] consumer-ebc2cc27056f recebeu as partições []
consumer-26  | 2026-09-25T22:43:47.087826286Z [REBALANÇO] consumer-ebc2cc27056f perdeu as partições []
consumer-26  | 2026-09-25T22:43:47.131031834Z [REBALANÇO] consumer-ebc2cc27056f recebeu as partições []
consumer-17  | 2026-09-25T22:43:38.043554927Z [REBALANÇO] consumer-7af78767efec perdeu as partições []
consumer-17  | 2026-09-25T22:43:38.072414820Z [REBALANÇO] consumer-7af78767efec recebeu as partições []
consumer-17  | 2026-09-25T22:43:47.084176908Z [REBALANÇO] consumer-7af78767efec perdeu as partições []
consumer-17  | 2026-09-25T22:43:47.129911404Z [REBALANÇO] consumer-7af78767efec recebeu as partições []
consumer-28  | 2026-09-25T22:43:38.032677274Z [REBALANÇO] consumer-3c2142d69042 perdeu as partições []
