===== Fri Sep 25 19:46:31 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-1   | 2026-09-25T22:46:44.330976792Z [REBALANÇO] consumer-f713e6b08a14 recebeu as partições []
consumer-15  | 2026-09-25T22:46:32.247890830Z [REBALANÇO] consumer-c6d6e0acf841 perdeu as partições []
consumer-15  | 2026-09-25T22:46:32.271609520Z [REBALANÇO] consumer-c6d6e0acf841 recebeu as partições []
consumer-15  | 2026-09-25T22:46:44.281698919Z [REBALANÇO] consumer-c6d6e0acf841 perdeu as partições []
consumer-15  | 2026-09-25T22:46:44.327551475Z [REBALANÇO] consumer-c6d6e0acf841 recebeu as partições []
consumer-19  | 2026-09-25T22:46:32.242697966Z [REBALANÇO] consumer-66b6137b442c perdeu as partições [0]
consumer-19  | 2026-09-25T22:46:32.271880822Z [REBALANÇO] consumer-66b6137b442c recebeu as partições [0]
consumer-19  | 2026-09-25T22:46:44.284511022Z [REBALANÇO] consumer-66b6137b442c perdeu as partições [0]
consumer-19  | 2026-09-25T22:46:44.327450297Z [REBALANÇO] consumer-66b6137b442c recebeu as partições [0]
consumer-23  | 2026-09-25T22:46:32.187964809Z [REBALANÇO] consumer-59575df6092f perdeu as partições []
consumer-23  | 2026-09-25T22:46:32.271843743Z [REBALANÇO] consumer-59575df6092f recebeu as partições []
consumer-23  | 2026-09-25T22:46:44.197927043Z [REBALANÇO] consumer-59575df6092f perdeu as partições []
consumer-23  | 2026-09-25T22:46:44.333229133Z [REBALANÇO] consumer-59575df6092f recebeu as partições []
consumer-30  | 2026-09-25T22:46:32.242526056Z [REBALANÇO] consumer-a20aa09b568f perdeu as partições []
consumer-30  | 2026-09-25T22:46:32.271628092Z [REBALANÇO] consumer-a20aa09b568f recebeu as partições []
consumer-30  | 2026-09-25T22:46:44.285489590Z [REBALANÇO] consumer-a20aa09b568f perdeu as partições []
consumer-30  | 2026-09-25T22:46:44.328320564Z [REBALANÇO] consumer-a20aa09b568f recebeu as partições []
consumer-29  | 2026-09-25T22:46:32.242716730Z [REBALANÇO] consumer-f856ec21a4be perdeu as partições []
consumer-29  | 2026-09-25T22:46:32.271791521Z [REBALANÇO] consumer-f856ec21a4be recebeu as partições []
consumer-29  | 2026-09-25T22:46:44.299362566Z [REBALANÇO] consumer-f856ec21a4be perdeu as partições []
consumer-29  | 2026-09-25T22:46:44.327565597Z [REBALANÇO] consumer-f856ec21a4be recebeu as partições []
consumer-11  | 2026-09-25T22:46:32.255363269Z [REBALANÇO] consumer-48342406b13f perdeu as partições []
consumer-11  | 2026-09-25T22:46:32.272815765Z [REBALANÇO] consumer-48342406b13f recebeu as partições []
consumer-11  | 2026-09-25T22:46:44.284829184Z [REBALANÇO] consumer-48342406b13f perdeu as partições []
consumer-11  | 2026-09-25T22:46:44.327495403Z [REBALANÇO] consumer-48342406b13f recebeu as partições []
consumer-5   | 2026-09-25T22:46:32.242712887Z [REBALANÇO] consumer-85c696eeb744 perdeu as partições []
consumer-5   | 2026-09-25T22:46:32.272677585Z [REBALANÇO] consumer-85c696eeb744 recebeu as partições []
consumer-5   | 2026-09-25T22:46:44.299641999Z [REBALANÇO] consumer-85c696eeb744 perdeu as partições []
consumer-5   | 2026-09-25T22:46:44.328275623Z [REBALANÇO] consumer-85c696eeb744 recebeu as partições []
consumer-8   | 2026-09-25T22:46:32.247969842Z [REBALANÇO] consumer-4cc65e761151 perdeu as partições []
consumer-8   | 2026-09-25T22:46:32.271759787Z [REBALANÇO] consumer-4cc65e761151 recebeu as partições []
consumer-8   | 2026-09-25T22:46:44.282615450Z [REBALANÇO] consumer-4cc65e761151 perdeu as partições []
consumer-8   | 2026-09-25T22:46:44.327501771Z [REBALANÇO] consumer-4cc65e761151 recebeu as partições []
consumer-17  | 2026-09-25T22:46:32.249679334Z [REBALANÇO] consumer-7af78767efec perdeu as partições []
consumer-17  | 2026-09-25T22:46:32.271583379Z [REBALANÇO] consumer-7af78767efec recebeu as partições []
consumer-17  | 2026-09-25T22:46:44.284473940Z [REBALANÇO] consumer-7af78767efec perdeu as partições []
consumer-17  | 2026-09-25T22:46:44.323997361Z [REBALANÇO] consumer-7af78767efec recebeu as partições []
consumer-26  | 2026-09-25T22:46:32.249711496Z [REBALANÇO] consumer-ebc2cc27056f perdeu as partições []
consumer-26  | 2026-09-25T22:46:32.271618348Z [REBALANÇO] consumer-ebc2cc27056f recebeu as partições []
consumer-26  | 2026-09-25T22:46:44.289524156Z [REBALANÇO] consumer-ebc2cc27056f perdeu as partições []
consumer-26  | 2026-09-25T22:46:44.327486839Z [REBALANÇO] consumer-ebc2cc27056f recebeu as partições []
consumer-10  | 2026-09-25T22:46:32.242749144Z [REBALANÇO] consumer-d5c728094122 perdeu as partições [4]
consumer-10  | 2026-09-25T22:46:32.272469788Z [REBALANÇO] consumer-d5c728094122 recebeu as partições [3]
consumer-10  | 2026-09-25T22:46:44.284541529Z [REBALANÇO] consumer-d5c728094122 perdeu as partições [3]
consumer-10  | 2026-09-25T22:46:44.326829546Z [REBALANÇO] consumer-d5c728094122 recebeu as partições [3]
consumer-12  | 2026-09-25T22:46:32.262846593Z [REBALANÇO] consumer-a7ce7106f1ee perdeu as partições [3]
consumer-12  | 2026-09-25T22:46:32.271893506Z [REBALANÇO] consumer-a7ce7106f1ee recebeu as partições [2]
consumer-12  | 2026-09-25T22:46:44.287245134Z [REBALANÇO] consumer-a7ce7106f1ee perdeu as partições [2]
consumer-12  | 2026-09-25T22:46:44.327954534Z [REBALANÇO] consumer-a7ce7106f1ee recebeu as partições [2]
consumer-28  | 2026-09-25T22:46:32.242576558Z [REBALANÇO] consumer-3c2142d69042 perdeu as partições []
consumer-28  | 2026-09-25T22:46:32.272012987Z [REBALANÇO] consumer-3c2142d69042 recebeu as partições []
consumer-28  | 2026-09-25T22:46:44.290857257Z [REBALANÇO] consumer-3c2142d69042 perdeu as partições []
consumer-28  | 2026-09-25T22:46:44.327181538Z [REBALANÇO] consumer-3c2142d69042 recebeu as partições []
consumer-2   | 2026-09-25T22:46:32.247964376Z [REBALANÇO] consumer-0d5aabb6ea72 perdeu as partições []
consumer-2   | 2026-09-25T22:46:32.272533503Z [REBALANÇO] consumer-0d5aabb6ea72 recebeu as partições []
consumer-2   | 2026-09-25T22:46:44.285996775Z [REBALANÇO] consumer-0d5aabb6ea72 perdeu as partições []
consumer-2   | 2026-09-25T22:46:44.326792126Z [REBALANÇO] consumer-0d5aabb6ea72 recebeu as partições []
consumer-4   | 2026-09-25T22:46:32.105337858Z [REBALANÇO] consumer-e70c175a47fd perdeu as partições []
consumer-4   | 2026-09-25T22:46:32.272506314Z [REBALANÇO] consumer-e70c175a47fd recebeu as partições []
consumer-4   | 2026-09-25T22:46:44.112145608Z [REBALANÇO] consumer-e70c175a47fd perdeu as partições []
consumer-4   | 2026-09-25T22:46:44.325213820Z [REBALANÇO] consumer-e70c175a47fd recebeu as partições []
consumer-6   | 2026-09-25T22:46:32.245609089Z [REBALANÇO] consumer-c20c2fdc5d80 perdeu as partições []
consumer-6   | 2026-09-25T22:46:32.271790014Z [REBALANÇO] consumer-c20c2fdc5d80 recebeu as partições []
consumer-6   | 2026-09-25T22:46:44.265450952Z [REBALANÇO] consumer-c20c2fdc5d80 perdeu as partições []
consumer-6   | 2026-09-25T22:46:44.327533484Z [REBALANÇO] consumer-c20c2fdc5d80 recebeu as partições []
consumer-27  | 2026-09-25T22:46:32.242629328Z [REBALANÇO] consumer-60c8690f18ac perdeu as partições []
consumer-27  | 2026-09-25T22:46:32.271903789Z [REBALANÇO] consumer-60c8690f18ac recebeu as partições []
consumer-27  | 2026-09-25T22:46:44.242549292Z [REBALANÇO] consumer-60c8690f18ac perdeu as partições []
consumer-27  | 2026-09-25T22:46:44.327868610Z [REBALANÇO] consumer-60c8690f18ac recebeu as partições []
consumer-13  | 2026-09-25T22:46:32.242647439Z [REBALANÇO] consumer-cd7fac13e368 perdeu as partições []
consumer-13  | 2026-09-25T22:46:32.272282265Z [REBALANÇO] consumer-cd7fac13e368 recebeu as partições []
consumer-13  | 2026-09-25T22:46:44.289315221Z [REBALANÇO] consumer-cd7fac13e368 perdeu as partições []
consumer-13  | 2026-09-25T22:46:44.327380146Z [REBALANÇO] consumer-cd7fac13e368 recebeu as partições []
consumer-21  | 2026-09-25T22:46:32.205130153Z [REBALANÇO] consumer-acac9830627d perdeu as partições []
consumer-21  | 2026-09-25T22:46:32.271987758Z [REBALANÇO] consumer-acac9830627d recebeu as partições []
consumer-21  | 2026-09-25T22:46:44.215102369Z [REBALANÇO] consumer-acac9830627d perdeu as partições []
consumer-21  | 2026-09-25T22:46:44.327545378Z [REBALANÇO] consumer-acac9830627d recebeu as partições []
consumer-14  | 2026-09-25T22:46:32.228108290Z [REBALANÇO] consumer-b71abb022b9d perdeu as partições [1]
consumer-14  | 2026-09-25T22:46:32.271923948Z [REBALANÇO] consumer-b71abb022b9d recebeu as partições [1]
consumer-14  | 2026-09-25T22:46:44.283241597Z [REBALANÇO] consumer-b71abb022b9d perdeu as partições [1]
consumer-14  | 2026-09-25T22:46:44.324499439Z [REBALANÇO] consumer-b71abb022b9d recebeu as partições [1]
consumer-25  | 2026-09-25T22:46:32.262846674Z [REBALANÇO] consumer-ea12c48acd50 perdeu as partições [5]
consumer-25  | 2026-09-25T22:46:32.272080786Z [REBALANÇO] consumer-ea12c48acd50 recebeu as partições [4]
consumer-25  | 2026-09-25T22:46:44.289390652Z [REBALANÇO] consumer-ea12c48acd50 perdeu as partições [4]
consumer-25  | 2026-09-25T22:46:44.324181058Z [REBALANÇO] consumer-ea12c48acd50 recebeu as partições [4]
consumer-9   | 2026-09-25T22:46:32.242611736Z [REBALANÇO] consumer-8b045a59d377 perdeu as partições []
consumer-9   | 2026-09-25T22:46:32.271751471Z [REBALANÇO] consumer-8b045a59d377 recebeu as partições [5]
consumer-9   | 2026-09-25T22:46:44.289422478Z [REBALANÇO] consumer-8b045a59d377 perdeu as partições [5]
consumer-9   | 2026-09-25T22:46:44.327442088Z [REBALANÇO] consumer-8b045a59d377 recebeu as partições [5]
consumer-16  | 2026-09-25T22:46:32.243420984Z [REBALANÇO] consumer-797d47836e42 perdeu as partições []
consumer-16  | 2026-09-25T22:46:32.272084378Z [REBALANÇO] consumer-797d47836e42 recebeu as partições []
consumer-16  | 2026-09-25T22:46:44.288428945Z [REBALANÇO] consumer-797d47836e42 perdeu as partições []
consumer-16  | 2026-09-25T22:46:44.327409943Z [REBALANÇO] consumer-797d47836e42 recebeu as partições []
consumer-22  | 2026-09-25T22:46:32.242594330Z [REBALANÇO] consumer-d4ee2407f35e perdeu as partições []
consumer-22  | 2026-09-25T22:46:32.271577561Z [REBALANÇO] consumer-d4ee2407f35e recebeu as partições []
consumer-22  | 2026-09-25T22:46:44.292976275Z [REBALANÇO] consumer-d4ee2407f35e perdeu as partições []
consumer-22  | 2026-09-25T22:46:44.326712865Z [REBALANÇO] consumer-d4ee2407f35e recebeu as partições []
