kafka1  | 2026-09-25T22:30:01.624197972Z [2026-09-25 22:30:01,623] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
kafka1  | 2026-09-25T22:30:01.634196716Z [2026-09-25 22:30:01,632] INFO Awaiting socket connections on kafka1:9093. (kafka.network.DataPlaneAcceptor)
kafka1  | 2026-09-25T22:30:01.661381274Z [2026-09-25 22:30:01,660] INFO [controller-1-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka1  | 2026-09-25T22:30:01.661683023Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661700666Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661703541Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661853588Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661870351Z [2026-09-25 22:30:01,661] INFO [ControllerRegistrationManager id=1 incarnation=R-C9ZIcqSpWYzRo0srjYKg] initialized channel manager. (kafka.server.ControllerRegistrationManager)
kafka1  | 2026-09-25T22:30:01.662370452Z [2026-09-25 22:30:01,662] INFO [ControllerRegistrationManager id=1 incarnation=R-C9ZIcqSpWYzRo0srjYKg] maybeSendControllerRegistration: cannot register yet because the metadata version is still 3.0-IV1, which does not support KIP-919 controller registration. (kafka.server.ControllerRegistrationManager)
kafka1  | 2026-09-25T22:30:01.662764237Z [2026-09-25 22:30:01,662] INFO [BrokerServer id=1] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
kafka1  | 2026-09-25T22:30:01.663953962Z [2026-09-25 22:30:01,663] INFO [BrokerServer id=1] Starting broker (kafka.server.BrokerServer)
kafka1  | 2026-09-25T22:30:01.672279450Z [2026-09-25 22:30:01,671] INFO [broker-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.672643890Z [2026-09-25 22:30:01,672] INFO [broker-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.673642759Z [2026-09-25 22:30:01,673] INFO [broker-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.675580795Z [2026-09-25 22:30:01,674] INFO [broker-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.715348623Z [2026-09-25 22:30:01,714] INFO [BrokerServer id=1] Waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka1  | 2026-09-25T22:30:01.715394447Z [2026-09-25 22:30:01,715] INFO [BrokerServer id=1] Finished waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka1  | 2026-09-25T22:30:01.719583146Z [2026-09-25 22:30:01,719] INFO [broker-1-to-controller-forwarding-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka1  | 2026-09-25T22:30:01.722731761Z [2026-09-25 22:30:01,722] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:01.824631658Z [2026-09-25 22:30:01,823] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:01.850030389Z [2026-09-25 22:30:01,841] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
